Post-Flight Data Sheet AE3202,,,,,,,,,,,,
,,,,,,,,,,,,
date of flight:,,,12-Mar,,T/O time:,,,,,,,
flight number:,,,1,,LND time:,,,,,,,
,,,,,,,,,,,,
Weights,,,,,,,,,,,,
,,,name,,,,mass [kg],,,,,
pilot 1:,,,,,,,95,,,,,
pilot 2:,,,,,,,92,,,,,
co-ordinator:,,,,,,,74,,,,,
observer 1L:,,,,,,,66,,,,,
observer 1R:,,,,,,,61,,,,,
observer 2L:,,,,,,,75,,,,,
observer 2R:,,,,,,,78,,,,,
observer 3L:,,,,,,,86,,,,,
observer 3R:,,,,,,,68,,,,,
,,,,,,,,,,,,
block fuel [lbs]:,,,4050,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Stationary measurements CL-CD Series 1,,,,,,,,,,,,
,,,,,,,,,,,,
Aircraft configuration:,,,,clean,,,,,,,,
,,,,,,,,,,,,
nr.,time,ET*,hp,IAS,a,FFl,FFr,F. used,TAT,,,
,[hrs:min],[sec],[ft],[kts],[deg],[lbs/hr],[lbs/hr],[lbs],[°C],,,
,,,,,,,,,,,,
1,19:17,,5010,249,1.7,798,813,360,12.5,,,
2,21:37,,5020,221,2.4,673,682,412,10.5,,,
3,23:46,,5020,192,3.6,561,579,447,8.8,,,
4,26:04,,5030,163,5.4,463,484,478,7.2,,,
5,29:47,,5020,130,8.7,443,467,532,6,,,
6,32:00,,5110,118,10.6,474,499,570,5.2,,,
7,,,,,,,,,,,,
,,* ET = Elapsed Time,,,,,,,,,,
,,,,,,,,,,,,
Stationary measurements CL - CD Series 2,,,,,,,,,,,,
,,,,,,,,,,,,
Aircraft configuration :,,,,,,,,,,,,
,,,,,,,,,,,,
nr.,time,ET*,hp,IAS,a,FFl,FFr,F. used,TAT,,,
,[hh:mm],[sec],[ft],[kts],[deg],[lbs/hr],[lbs/hr],[lbs],[°C],,,
,,,,,,,,,,,,
1,,,,,,,,,,,,
2,,,,,,,,,,,,
3,,,,,,,,,,,,
4,,,,,,,,,,,,
5,,,,,,,,,,,,
6,,,,,,,,,,,,
7,,,,,,,,,,,,
,,* ET = Elapsed Time,,,,,,,,,,
Stationary measurements Elevator Trim Curve,,,,,,,,,,,,
,,,,,,,,,,,,
Aircraft configuration:,,,,clean,,,,,,,,
,,,,,,,,,,,,
nr.,time,ET*,hp,IAS,a,de,detr,Fe,FFl,FFr,F. used,TAT
,[hh:mm],[sec],[ft],[kts],[deg],[deg],[deg],[N],[lbs/hr],[lbs/hr],[lbs],[°C]
,,,,,,,,,,,,
1,37:19,,6060,161,5.3,0,2.8,0,462,486,664,5.5
2,39:11,,6350,150,6.3,-0.4,2.8,-23,458,482,694,4.5
3,41:24,,6550,140,7.3,-0.9,2.8,-29,454,477,730,3.5
4,42:56,,6880,130,8.5,-1.5,2.8,-46,449,473,755,2.5
5,45:41,,6160,173,4.5,0.4,2.8,26,465,489,798,5.0
6,47:20,,5810,179,4.1,0.6,2.8,40,472,496,825,6.2
7,48:40,,5310,192,3.4,1,2.8,83,482,505,846,8.2
,,* ET = Elapsed Time,,,,,,,,,,
,,,,,,,,,,,,
Shift in center of gravity,,,,,,,,,,,,
,,,,,,,,,,,,
name:,,,,,,,,,,,,
position:,,,,moved to position:,,,,,,,,
,,,,,,,,,,,,
nr.,time,ET*,hp,IAS,a,de,detr,Fe,FFl,FFr,F. used,TAT
,[hh:mm],[sec],[ft],[kts],[deg],[deg],[deg],[N],[lbs/hr],[lbs/hr],[lbs],[°C]
1,51:02,,5730,161,5.3,0,2.8,0,471,493,881,5.0
2,52:46,,5790,161,5.3,-0.5,2.8,-30,468,490,910,5.0
,,* ET = Elapsed Time,,,,,,,,,,
,,,,,,,,,,,,
Eigenmotions,,,,,,,,,,,,
,,,,,,,,,,,,
,,,Time,,,Time,,,Time,,,
,,,[hh:mm],,,[hh:mm],,,[hh:mm],,,
Phugoid,,,53:57,Dutch Roll,,1:01:57,Aper. Roll,,59:10,,,
Short period,,,1:00:35,Dutch Roll YD,,1:02:47,Spiral,,1:05:20,,,
